"DIQ070.Code.or.Value","DIQ070.Value.Description","DIQ070.Count","DIQ070.Cumulative","DIQ070.Skip.to.Item"
"1","Yes",334,334,NA
"2","No",153,487,NA
"7","Refused",0,487,NA
"9","Don't know",2,489,NA
".","Missing",9004,9493,NA
