"URDMU2LC.Code.or.Value","URDMU2LC.Value.Description","URDMU2LC.Count","URDMU2LC.Cumulative","URDMU2LC.Skip.to.Item"
"0","At or above the detection limit",2176,2176,NA
"1","Below lower detection limit",538,2714,NA
".","Missing",117,2831,NA
