"AUXLR260.Code.or.Value","AUXLR260.Value.Description","AUXLR260.Count","AUXLR260.Cumulative","AUXLR260.Skip.to.Item"
"-12 to 80","Range of Values",1883,1883,NA
".","Missing",163,2046,NA
