"LBXVEA.Code.or.Value","LBXVEA.Value.Description","LBXVEA.Count","LBXVEA.Cumulative","LBXVEA.Skip.to.Item"
"0.112 to 62.6","Range of Values",2819,2819,NA
".","Missing",353,3172,NA
