"TYXP050.Code.or.Value","TYXP050.Value.Description","TYXP050.Count","TYXP050.Cumulative","TYXP050.Skip.to.Item"
"-97 to 154","Range of Values",8468,8468,NA
".","Missing",1,8469,NA
