"FSD652ZW.Code.or.Value","FSD652ZW.Value.Description","FSD652ZW.Count","FSD652ZW.Cumulative","FSD652ZW.Skip.to.Item"
"1","Yes",87,87,""
"2","No",100,187,"FSD652CW"
"7","Refused",1,188,"FSD652CW"
"9","Don't know",0,188,"FSD652CW"
".","Missing",9066,9254,""
