"RFXC071.Code.or.Value","RFXC071.Value.Description","RFXC071.Count","RFXC071.Cumulative","RFXC071.Skip.to.Item"
"-7.553 to 5.215","Range of Values",33697,33697,NA
".","Missing",24,33721,NA
