"DSQIMAGN.Code.or.Value","DSQIMAGN.Value.Description","DSQIMAGN.Count","DSQIMAGN.Cumulative","DSQIMAGN.Skip.to.Item"
"0.3 to 3600","Range of Values",2122,2122,NA
".","Missing",6147,8269,NA
