"DXXSMY.Code.or.Value","DXXSMY.Value.Description","DXXSMY.Count","DXXSMY.Cumulative","DXXSMY.Skip.to.Item"
"42.1 to 260.8","Range of Values",3293,3293,NA
".","Missing",415,3708,NA
