"OCQ180.Code.or.Value","OCQ180.Value.Description","OCQ180.Count","OCQ180.Cumulative","OCQ180.Skip.to.Item"
"1 to 105","Range of Values",3043,3043,NA
"77777","Refused",0,3043,NA
"99999","Don't know",1,3044,NA
".","Missing",4251,7295,NA
