"DR1TP226.Code.or.Value","DR1TP226.Value.Description","DR1TP226.Count","DR1TP226.Cumulative","DR1TP226.Skip.to.Item"
"0 to 8.717","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
