"DS1TSUGR.Code.or.Value","DS1TSUGR.Value.Description","DS1TSUGR.Count","DS1TSUGR.Cumulative","DS1TSUGR.Skip.to.Item"
"0.5 to 33","Range of Values",539,539,NA
".","Missing",9714,10253,NA
