"DXXPT36X.Code.or.Value","DXXPT36X.Value.Description","DXXPT36X.Count","DXXPT36X.Cumulative","DXXPT36X.Skip.to.Item"
"557.2 to 1140.5","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
