"WTSPH14.Code.or.Value","WTSPH14.Value.Description","WTSPH14.Count","WTSPH14.Cumulative","WTSPH14.Skip.to.Item"
"0 to 800794.03906","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
