"AUXOTSPL.Code.or.Value","AUXOTSPL.Value.Description","AUXOTSPL.Count","AUXOTSPL.Cumulative","AUXOTSPL.Skip.to.Item"
"1","Yes (checkbox checked)",3372,3372,NA
"2","No (checkbox unchecked)",536,3908,NA
".","Missing",592,4500,NA
