"DR2TMAGN.Code.or.Value","DR2TMAGN.Value.Description","DR2TMAGN.Count","DR2TMAGN.Cumulative","DR2TMAGN.Skip.to.Item"
"0 to 1419","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
