"AUXR3KL.Code.or.Value","AUXR3KL.Value.Description","AUXR3KL.Count","AUXR3KL.Cumulative","AUXR3KL.Skip.to.Item"
"15 to 95","Range of Values",29,29,NA
"666","No response",1,30,NA
"888","Could not obtain",0,30,NA
".","Missing",4552,4582,NA
