"URXPMA.Code.or.Value","URXPMA.Value.Description","URXPMA.Count","URXPMA.Cumulative","URXPMA.Skip.to.Item"
"0.424 to 28.3","Range of Values",2561,2561,NA
".","Missing",194,2755,NA
