"LBDBR9LC.Code.or.Value","LBDBR9LC.Value.Description","LBDBR9LC.Count","LBDBR9LC.Cumulative","LBDBR9LC.Skip.to.Item"
"0","At or above the detection limit",51,51,NA
"1","Below lower detection limit",214,265,NA
".","Missing",0,265,NA
