"LBCBR1LA.Code.or.Value","LBCBR1LA.Value.Description","LBCBR1LA.Count","LBCBR1LA.Cumulative","LBCBR1LA.Skip.to.Item"
"0.1344 to 0.9885","Range of Values",249,249,NA
".","Missing",2,251,NA
