"VTQ281F.Code.or.Value","VTQ281F.Value.Description","VTQ281F.Count","VTQ281F.Cumulative","VTQ281F.Skip.to.Item"
"1 to 48","Range of Values",163,163,NA
".","Missing",3284,3447,NA
