"LBDSF6LC.Code.or.Value","LBDSF6LC.Value.Description","LBDSF6LC.Count","LBDSF6LC.Cumulative","LBDSF6LC.Skip.to.Item"
"0","At or above the detection limit",4571,4571,NA
"1","Below lower detection limit",0,4571,NA
".","Missing",521,5092,NA
