"AUDTYR77.Code.or.Value","AUDTYR77.Value.Description","AUDTYR77.Count","AUDTYR77.Cumulative","AUDTYR77.Skip.to.Item"
"0 to 1.69","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
