"AUXLR201.Code.or.Value","AUXLR201.Value.Description","AUXLR201.Count","AUXLR201.Cumulative","AUXLR201.Skip.to.Item"
"-27 to 67","Range of Values",1664,1664,NA
".","Missing",143,1807,NA
