"AUXRR159.Code.or.Value","AUXRR159.Value.Description","AUXRR159.Count","AUXRR159.Cumulative","AUXRR159.Skip.to.Item"
"-3 to 51","Range of Values",1878,1878,NA
".","Missing",168,2046,NA
