"SXD031.Code.or.Value","SXD031.Value.Description","SXD031.Count","SXD031.Cumulative","SXD031.Skip.to.Item"
"10 to 53","Range of Values",2582,2582,NA
"9","9 years or younger",24,2606,NA
"77","Refused",5,2611,NA
"99","Don't know",3,2614,NA
".","Missing",671,3285,NA
