"CIQG35.Code.or.Value","CIQG35.Value.Description","CIQG35.Count","CIQG35.Cumulative","CIQG35.Skip.to.Item"
"0 to 10","Range of Values",14,14,NA
"77","Refused",0,14,NA
"99","Don't know",0,14,NA
".","Missing",914,928,NA
