"DR2LANG.Code.or.Value","DR2LANG.Value.Description","DR2LANG.Count","DR2LANG.Cumulative","DR2LANG.Skip.to.Item"
"1","English",98268,98268,NA
"2","Spanish",11128,109396,NA
"3","English and Spanish",1182,110578,NA
"4","Other",56,110634,NA
"5","Asian Languages",1404,112038,NA
"6","Asian Languages and English",63,112101,NA
".","Missing",0,112101,NA
