"URXDCB.Code.or.Value","URXDCB.Value.Description","URXDCB.Count","URXDCB.Cumulative","URXDCB.Skip.to.Item"
"0.14 to 429","Range of Values",2749,2749,NA
".","Missing",70,2819,NA
