"FSQ121.Code.or.Value","FSQ121.Value.Description","FSQ121.Count","FSQ121.Cumulative","FSQ121.Skip.to.Item"
"1","Yes",127,127,NA
"2","No",1770,1897,NA
"7","Refused",0,1897,NA
"9","Don't know",0,1897,NA
".","Missing",2508,4405,NA
