"RFXC013.Code.or.Value","RFXC013.Value.Description","RFXC013.Count","RFXC013.Cumulative","RFXC013.Skip.to.Item"
"-4.932 to 4.723","Range of Values",33713,33713,NA
".","Missing",8,33721,NA
