"OHD10LAM.Code.or.Value","OHD10LAM.Value.Description","OHD10LAM.Count","OHD10LAM.Cumulative","OHD10LAM.Skip.to.Item"
"0 to 9","Range of Values",2461,2461,NA
"99","Calculation cannot be determined",328,2789,NA
".","Missing",4341,7130,NA
