"BMITRI.Code.or.Value","BMITRI.Value.Description","BMITRI.Count","BMITRI.Cumulative","BMITRI.Skip.to.Item"
"1","Could not obtain",227,227,NA
"2","Exceeds capacity",299,526,NA
"3","Hard to obtain",0,526,NA
".","Missing",8756,9282,NA
