"SSCYPC.Code.or.Value","SSCYPC.Value.Description","SSCYPC.Count","SSCYPC.Cumulative","SSCYPC.Skip.to.Item"
"0.43 to 10.7","Range of Values",2792,2792,NA
".","Missing",8,2800,NA
