"AUDTYR48.Code.or.Value","AUDTYR48.Value.Description","AUDTYR48.Count","AUDTYR48.Cumulative","AUDTYR48.Skip.to.Item"
"0 to 3.84","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
