"OSQ210.Code.or.Value","OSQ210.Value.Description","OSQ210.Count","OSQ210.Cumulative","OSQ210.Skip.to.Item"
"10 to 98","Range of Values",96,96,NA
"777","Refused",0,96,NA
"999","Don't know",10,106,NA
".","Missing",4873,4979,NA
