"DRD350B.Code.or.Value","DRD350B.Value.Description","DRD350B.Count","DRD350B.Cumulative","DRD350B.Skip.to.Item"
"1","Yes",684,684,""
"2","No",2621,3305,"DRD350C"
".","Missing",5399,8704,""
