"LBXTST.Code.or.Value","LBXTST.Value.Description","LBXTST.Count","LBXTST.Cumulative","LBXTST.Skip.to.Item"
"0.41 to 1550","Range of Values",7559,7559,NA
".","Missing",732,8291,NA
