"MCQ051.Code.or.Value","MCQ051.Value.Description","MCQ051.Count","MCQ051.Cumulative","MCQ051.Skip.to.Item"
"1","Yes",581,581,NA
"2","No",253,834,NA
"7","Refused",0,834,NA
"9","Don't know",1,835,NA
".","Missing",8831,9666,NA
