"LBXV1D.Code.or.Value","LBXV1D.Value.Description","LBXV1D.Count","LBXV1D.Cumulative","LBXV1D.Skip.to.Item"
"0.0707 to 0.0707","Range of Values",3083,3083,NA
".","Missing",462,3545,NA
