"WBXA032.Code.or.Value","WBXA032.Value.Description","WBXA032.Count","WBXA032.Cumulative","WBXA032.Skip.to.Item"
"-4.283 to 0.9994","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
