"RFXC085.Code.or.Value","RFXC085.Value.Description","RFXC085.Count","RFXC085.Cumulative","RFXC085.Skip.to.Item"
"-6.266 to 4.487","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
