"DX2RAFAT.Code.or.Value","DX2RAFAT.Value.Description","DX2RAFAT.Count","DX2RAFAT.Cumulative","DX2RAFAT.Skip.to.Item"
"379.6 to 5987.1","Range of Values",464,464,NA
".","Missing",21,485,NA
