"AUDTYR33.Code.or.Value","AUDTYR33.Value.Description","AUDTYR33.Count","AUDTYR33.Cumulative","AUDTYR33.Skip.to.Item"
"0 to 1.81","Range of Values",1140,1140,NA
".","Missing",70,1210,NA
