"SMD100LN.Code.or.Value","SMD100LN.Value.Description","SMD100LN.Count","SMD100LN.Cumulative","SMD100LN.Skip.to.Item"
"1","Regular (68-72 mm)",37,37,NA
"2","King (79-88 mm)",602,639,NA
"3","Long (94-101 mm)",445,1084,NA
"4","Ultra long (110-121 mm)",18,1102,NA
".","Missing",3939,5041,NA
