"URXDEA.Code.or.Value","URXDEA.Value.Description","URXDEA.Count","URXDEA.Cumulative","URXDEA.Skip.to.Item"
"0.3359 to 6140","Range of Values",2426,2426,NA
".","Missing",79,2505,NA
