"AUQ150.Code.or.Value","AUQ150.Value.Description","AUQ150.Count","AUQ150.Cumulative","AUQ150.Skip.to.Item"
"1","Yes",319,319,""
"2","No",5085,5404,"AUQ190"
"7","Refused",3,5407,"AUQ190"
"9","Don't know",0,5407,"AUQ190"
".","Missing",5063,10470,""
