"SMQ817.Code.or.Value","SMQ817.Value.Description","SMQ817.Count","SMQ817.Cumulative","SMQ817.Skip.to.Item"
"1 to 5","Range of Values",46,46,NA
"7","Refused",0,46,NA
"9","Don't know",0,46,NA
".","Missing",6355,6401,NA
