"SLD010H.Code.or.Value","SLD010H.Value.Description","SLD010H.Count","SLD010H.Cumulative","SLD010H.Skip.to.Item"
"2 to 11","Range of Values",6835,6835,NA
"12","12 hours or more",39,6874,NA
"77","Refused",0,6874,NA
"99","Don't know",8,6882,NA
".","Missing",7,6889,NA
