"RFXC156.Code.or.Value","RFXC156.Value.Description","RFXC156.Count","RFXC156.Cumulative","RFXC156.Skip.to.Item"
"-7.13 to 7.491","Range of Values",51051,51051,NA
".","Missing",25,51076,NA
