"AUXLR253.Code.or.Value","AUXLR253.Value.Description","AUXLR253.Count","AUXLR253.Cumulative","AUXLR253.Skip.to.Item"
"-23 to 40","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
