"DXXPT69X.Code.or.Value","DXXPT69X.Value.Description","DXXPT69X.Count","DXXPT69X.Cumulative","DXXPT69X.Skip.to.Item"
"255.3 to 899.9","Range of Values",3298,3298,NA
".","Missing",410,3708,NA
