"SSMTBRPS.Code.or.Value","SSMTBRPS.Value.Description","SSMTBRPS.Count","SSMTBRPS.Cumulative","SSMTBRPS.Skip.to.Item"
"0 to 1","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
