"BIXS1M.Code.or.Value","BIXS1M.Value.Description","BIXS1M.Count","BIXS1M.Cumulative","BIXS1M.Skip.to.Item"
"45.36 to 990.39","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
