"WTDR2D.Code.or.Value","WTDR2D.Value.Description","WTDR2D.Count","WTDR2D.Cumulative","WTDR2D.Skip.to.Item"
"1513.0983763 to 372117.36058","Range of Values",5202,5202,NA
".","Missing",521,5723,NA
