"DSQIVB12.Code.or.Value","DSQIVB12.Value.Description","DSQIVB12.Count","DSQIVB12.Cumulative","DSQIVB12.Skip.to.Item"
"0.01287 to 10000","Range of Values",2882,2882,NA
".","Missing",5403,8285,NA
