"AUDTYR76.Code.or.Value","AUDTYR76.Value.Description","AUDTYR76.Count","AUDTYR76.Cumulative","AUDTYR76.Skip.to.Item"
"0 to 0.72","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
