"WTSPP30.Code.or.Value","WTSPP30.Value.Description","WTSPP30.Count","WTSPP30.Cumulative","WTSPP30.Skip.to.Item"
"0 to 814079.33489","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
