"CVDS2DI.Code.or.Value","CVDS2DI.Value.Description","CVDS2DI.Count","CVDS2DI.Cumulative","CVDS2DI.Skip.to.Item"
"39 to 136","Range of Values",2332,2332,NA
".","Missing",2270,4602,NA
