"DRD370M.Code.or.Value","DRD370M.Value.Description","DRD370M.Count","DRD370M.Cumulative","DRD370M.Skip.to.Item"
"1","Yes",1774,1774,""
"2","No",3347,5121,"DRD370N"
".","Missing",4692,9813,""
