"URXBMA.Code.or.Value","URXBMA.Value.Description","URXBMA.Count","URXBMA.Cumulative","URXBMA.Skip.to.Item"
"0.354 to 1180","Range of Values",2466,2466,NA
".","Missing",85,2551,NA
