"DLQ140.Code.or.Value","DLQ140.Value.Description","DLQ140.Count","DLQ140.Cumulative","DLQ140.Skip.to.Item"
"1","Daily",295,295,NA
"2","Weekly",390,685,NA
"3","Monthly",482,1167,NA
"4","A few times a year",1889,3056,NA
"5","Never",2872,5928,NA
"7","Refused",1,5929,NA
"9","Don't know",14,5943,NA
".","Missing",3632,9575,NA
