"DIQ300S.Code.or.Value","DIQ300S.Value.Description","DIQ300S.Count","DIQ300S.Cumulative","DIQ300S.Skip.to.Item"
"63 to 220","Range of Values",418,418,NA
"7777","Refused",6,424,NA
"9999","Don't know",284,708,NA
".","Missing",8656,9364,NA
