"CIQP49.Code.or.Value","CIQP49.Value.Description","CIQP49.Count","CIQP49.Cumulative","CIQP49.Skip.to.Item"
"1","Past Month",22,22,NA
"2","Past 6 Months",15,37,NA
"3","Over 6 Months",13,50,NA
"7","Refused",2,52,NA
"9","Don't know",1,53,NA
".","Missing",875,928,NA
